"VDC";"r Vo.V";"i Vo.V"
0.477;0.31068;0
0.4775;0.311142;0
0.478;0.311604;0
0.4785;0.312066;0
0.479;0.312527;0
0.4795;0.312989;0
0.48;0.313451;0
0.4805;0.313913;0
0.481;0.314375;0
0.4815;0.314837;0
0.482;0.3153;0
0.4825;0.315762;0
0.483;0.316224;0
0.4835;0.316686;0
0.484;0.317149;0
0.4845;0.317611;0
0.485;0.318073;0
0.4855;0.318536;0
0.486;0.318998;0
0.4865;0.319461;0
0.487;0.319924;0
0.4875;0.320386;0
0.488;0.320849;0
0.4885;0.321312;0
0.489;0.321775;0
0.4895;0.322238;0
0.49;0.322701;0
0.4905;0.323164;0
0.491;0.323627;0
0.4915;0.32409;0
0.492;0.324553;0
0.4925;0.325016;0
0.493;0.325479;0
0.4935;0.325943;0
0.494;0.326406;0
0.4945;0.326869;0
0.495;0.327333;0
0.4955;0.327796;0
0.496;0.32826;0
0.4965;0.328723;0
0.497;0.329187;0
0.4975;0.329651;0
0.498;0.330114;0
0.4985;0.330578;0
0.499;0.331042;0
0.4995;0.331506;0
0.5;0.33197;0
